date,state,positive,negative,death,positiveIncrease,negativeIncrease,score
2020-4-4,GU,93,472,4,9,13
2020-4-4,HI,319,11959,3,34,1753
2020-4-4,IA,786,9454,14,87,700
2020-4-4,ID,1013,7857,10,122,803
2020-4-4,IL,10357,43224,243,1453,4080
2020-4-4,IN,3953,15847,116,516,1449
2020-4-4,KS,698,6880,21,78,426
2020-4-4,KY,831,14741,37,61,2707
2020-4-4,LA,12496,46002,409,2199,2654
2020-4-4,MA,11736,57064,216,1334,4504
2020-4-4,MD,3125,22485,53,367,1553
2020-4-4,ME,456,6088,10,24,0
2020-4-4,MI,14225,11893,540,1481,0
2020-4-4,MN,865,24558,24,76,1120
2020-4-4,MO,2291,22614,24,178,3257
2020-4-4,MP,8,13,1,0,0
2020-4-4,MS,1455,5133,35,97,380
2020-4-4,MT,265,5912,5,22,579
2020-4-4,NC,2402,36371,24,309,6866
2020-4-4,ND,186,6021,3,13,396
2020-4-4,NE,321,5058,6,42,571
2020-4-4,NH,540,6965,7,61,390
2020-4-4,NJ,34124,41232,846,4229,3624
2020-4-4,NM,495,15137,10,92,762
2020-4-4,NV,1742,14421,46,228,1403
2020-4-4,NY,113704,169917,3565,10841,12260
2020-4-4,OH,3739,38132,102,427,3069
2020-4-4,OK,1159,1362,42,171,47
2020-4-4,OR,899,16535,22,0,1276
2020-4-4,PA,10017,60013,136,1597,6318
2020-4-4,PR,452,2065,18,74,16
2020-4-4,RI,806,5584,17,95,1172
2020-4-4,SC,1917,16397,40,363,10956
2020-4-4,SD,212,5012,2,25,419
2020-4-4,TN,3321,38070,43,254,3298
2020-4-4,TX,6110,57641,105,780,7207
2020-4-4,UT,1428,26615,8,182,3613
2020-4-4,VA,2407,19145,52,395,2152
2020-4-4,VI,40,184,,2,30
2020-4-4,VT,461,5383,20,72,544
2020-4-4,WA,6966,75633,284,381,2800
2020-4-4,WI,2112,23859,56,200,1482
2020-4-4,WV,282,7404,2,45,1274
2020-4-4,WY,187,2945,0,25,241
2020-4-3,AK,157,5859,3,14,980
2020-4-3,AL,1432,8187,35,199,684
2020-4-3,AR,704,8995,12,61,1115
2020-4-3,AS,,20,0,0,0
2020-4-3,AZ,1769,22904,41,171,1793
2020-4-3,CA,10701,24599,237,1510,790
2020-4-3,CO,3728,16683,97,386,1380
2020-4-3,CT,4914,15101,131,1090,625
2020-4-3,DC,757,4827,15,104,410
2020-4-3,DE,450,4995,14,57,429
2020-4-3,FL,9585,82137,163,1575,12851
2020-4-3,GA,5831,19434,184,483,1825
2020-4-3,GU,84,459,4,2,17
2020-4-3,HI,285,10206,2,27,0
2020-4-3,IA,699,8754,11,85,700
2020-4-3,ID,891,7054,9,222,441
2020-4-3,IL,8904,39144,210,1209,3183
2020-4-3,IN,3437,14398,102,398,1152
2020-4-3,KS,620,6454,17,68,395
2020-4-3,KY,770,12034,31,90,4814
2020-4-3,LA,10297,43348,370,1147,1412
2020-4-3,MA,10402,52560,192,1436,4918
2020-4-3,MD,2758,20932,42,427,2042
2020-4-3,ME,432,6088,9,56,0
2020-4-3,MI,12744,11893,479,1953,0
2020-4-3,MN,789,23438,22,47,1786
2020-4-3,MO,2113,19357,19,279,1508
2020-4-3,MP,8,13,1,0,0
2020-4-3,MS,1358,4753,29,181,0
2020-4-3,MT,243,5333,5,16,240
2020-4-3,NC,2093,29505,19,236,2683
2020-4-3,ND,173,5625,3,14,804
2020-4-3,NE,279,4487,6,33,509
2020-4-3,NH,479,6575,5,64,497
2020-4-3,NJ,29895,37608,646,4305,4088
2020-4-3,NM,403,14375,7,40,727
2020-4-3,NV,1514,13018,43,56,430
2020-4-3,NY,102863,157657,2935,10482,11073
2020-4-3,OH,3312,35063,91,410,3047
2020-4-3,OK,988,1315,38,109,50
2020-4-3,OR,899,15259,21,73,1127
2020-4-3,PA,8420,53695,102,1404,5997
2020-4-3,PR,378,2049,15,62,445
2020-4-3,RI,711,4412,14,54,0
2020-4-3,SC,1554,5441,31,0,0
2020-4-3,SD,187,4593,2,22,376
2020-4-3,TN,3067,34772,37,222,3006
2020-4-3,TX,5330,50434,90,661,4424
2020-4-3,UT,1246,23002,7,172,3011
2020-4-3,VA,2012,16993,46,306,1110
2020-4-3,VI,38,154,,5,5
2020-4-3,VT,389,4839,17,51,128
2020-4-3,WA,6585,72833,262,601,4019
2020-4-3,WI,1912,22377,37,182,2060
2020-4-3,WV,237,6130,2,20,854
2020-4-3,WY,162,2704,0,12,265
2020-4-2,AK,143,4879,3,10,409
2020-4-2,AL,1233,7503,32,156,806
2020-4-2,AR,643,7880,12,59,526
2020-4-2,AS,0,20,0,0,0
2020-4-2,AZ,1598,21111,32,185,1466
2020-4-2,CA,9191,23809,203,1036,2037
2020-4-2,CO,3342,15303,80,376,1420
2020-4-2,CT,3824,14476,112,267,1433
2020-4-2,DC,653,4417,12,67,1155
2020-4-2,DE,393,4566,12,25,551
2020-4-2,FL,8010,69286,128,1055,9757
2020-4-2,GA,5348,17609,163,710,1921
2020-4-2,GU,82,442,3,5,36
2020-4-2,HI,258,10206,1,50,1485
2020-4-2,IA,614,8054,11,65,750
2020-4-2,ID,669,6613,9,144,537
2020-4-2,IL,7695,35961,157,715,2557
2020-4-2,IN,3039,13246,78,474,1436
2020-4-2,KS,552,6059,13,70,648
2020-4-2,KY,680,7220,20,89,255
2020-4-2,LA,9150,41936,310,2726,2584
2020-4-2,MA,8966,47642,154,1228,3642
2020-4-2,MD,2331,18890,36,346,1657
2020-4-2,ME,376,6088,7,32,0
2020-4-2,MI,10791,11893,417,1457,0
2020-4-2,MN,742,21652,18,53,1150
2020-4-2,MO,1834,17849,19,253,2003
2020-4-2,MP,8,13,1,2,13
2020-4-2,MS,1177,4753,26,104,1041
2020-4-2,MT,227,5093,5,19,383
2020-4-2,NC,1857,26822,16,273,2163
2020-4-2,ND,159,4821,3,17,470
2020-4-2,NE,246,3978,5,36,503
2020-4-2,NH,415,6078,4,0,93
2020-4-2,NJ,25590,33520,537,3335,3133
